mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	3/4	2	1	1/4	1/4	1		5	47	B2	2	6
1	1	0	0	0.5	0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	0
1	1	1/2	1/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	1
1	1	1	1	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	7
1	1	1	1	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		5	83	B5	5	2
1	1	3/2	3/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	3
1	1	2	2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		10	58	A#3	3	8
1	1	2	2	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		7	73	C#5	5	4
1	1	5/2	5/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	5
2	2	3	3	1.0	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	15
2	2	3	3	0.5	0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	9
2	2	7/2	7/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	10
2	2	4	4	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	16
2	2	4	4	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		5	71	B4	4	11
2	2	9/2	9/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	12
2	2	5	5	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	66	F#4	4	17
2	2	5	5	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		10	70	A#4	4	13
2	2	11/2	11/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	14
3	3	6	6	1.0	0	0	3/4	2	1	1/4	1/4	1		2	62	D4	4	24
3	3	6	6	0.5	0	0	3/4	1	1	1/8	1/8	1		5	71	B4	4	18
3	3	13/2	13/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	19
3	3	7	7	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	25
3	3	7	7	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		5	83	B5	5	20
3	3	15/2	15/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	21
