mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.25	0	15/16	4/4	1	1	1/16	1/16	1		5	71	B4	4	0
2	1	1/4	1/4	0.25	0	0	4/4	1	2	1/16	1/16	1		1	55	G3	3	11
2	1	1/4	1/4	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	24
2	1	1/4	1/4	0.75	0	0	4/4	1	1	3/16	1/8	3/2		5	71	B4	4	1
2	1	1/2	1/2	0.25	1/16	1/16	4/4	1	2	1/16	1/16	1		5	59	B3	3	12
2	1	3/4	3/4	0.25	1/8	1/8	4/4	1	2	1/16	1/16	1		2	62	D4	4	13
2	1	1	1	0.25	3/16	3/16	4/4	1	2	1/16	1/16	1	1	1	67	G4	4	14
2	1	1	1	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1		0	72	C5	5	2
2	1	5/4	5/4	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	25
2	1	5/4	5/4	0.25	1/4	1/4	4/4	1	2	1/16	1/16	1	-1	1	67	G4	4	15
2	1	5/4	5/4	0.75	1/4	1/4	4/4	1	1	3/16	1/8	3/2		0	72	C5	5	3
2	1	3/2	3/2	0.25	5/16	5/16	4/4	1	2	1/16	1/16	1		1	67	G4	4	16
2	1	7/4	7/4	0.25	3/8	3/8	4/4	1	2	1/16	1/16	1		6	66	F#4	4	17
2	1	2	2	0.25	7/16	7/16	4/4	1	2	1/16	1/16	1		4	64	E4	4	18
2	1	2	2	0.125	7/16	7/16	4/4	1	1	1/32	1/32	1		5	71	B4	4	4
2	1	17/8	17/8	0.125	15/32	15/32	4/4	1	1	1/32	1/32	1		0	72	C5	5	5
2	1	9/4	9/4	1.5	1/2	1/2	4/4	2	1	3/8	1/4	3/2		5	59	B3	3	26
2	1	9/4	9/4	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1	1	2	74	D5	5	6
2	1	5/2	5/2	0.25	9/16	9/16	4/4	1	2	1/16	1/16	1		2	62	D4	4	19
2	1	11/4	11/4	0.25	5/8	5/8	4/4	1	2	1/16	1/16	1		6	66	F#4	4	20
2	1	3	3	0.25	11/16	11/16	4/4	1	2	1/16	1/16	1	1	1	67	G4	4	21
2	1	13/4	13/4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1	0	1	67	G4	4	22
2	1	13/4	13/4	1.0	3/4	3/4	4/4	1	3	1/4	1/4	1		5	71	B4	4	23
2	1	13/4	13/4	0.25	3/4	3/4	4/4	1	1	1/16	1/16	1	-1	2	74	D5	5	7
2	1	7/2	7/2	0.25	13/16	13/16	4/4	1	1	1/16	1/16	1		2	74	D5	5	8
2	1	15/4	15/4	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	27
2	1	15/4	15/4	0.25	7/8	7/8	4/4	1	1	1/16	1/16	1		6	78	F#5	5	9
2	1	4	4	0.25	15/16	15/16	4/4	1	1	1/16	1/16	1		1	79	G5	5	10
3	2	17/4	17/4	0.5	0	0	4/4	2	1	1/8	1/8	1		0	60	C4	4	46
3	2	17/4	17/4	1.5	0	0	4/4	1	2	3/8	1/4	3/2	-1	1	67	G4	4	41
3	2	17/4	17/4	0.25	0	0	4/4	1	1	1/16	1/16	1		4	76	E5	5	28
3	2	9/2	9/2	0.25	1/16	1/16	4/4	1	1	1/16	1/16	1		1	79	G5	5	29
3	2	19/4	19/4	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	47
3	2	19/4	19/4	0.25	1/8	1/8	4/4	1	1	1/16	1/16	1		2	74	D5	5	30
3	2	5	5	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1		1	79	G5	5	31
3	2	21/4	21/4	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	48
3	2	21/4	21/4	0.25	1/4	1/4	4/4	1	1	1/16	1/16	1		0	72	C5	5	32
3	2	11/2	11/2	0.25	5/16	5/16	4/4	1	1	1/16	1/16	1		5	71	B4	4	33
3	2	23/4	23/4	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	42
3	2	23/4	23/4	0.25	3/8	3/8	4/4	1	1	1/16	1/16	1		0	72	C5	5	34
3	2	6	6	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		3	81	A5	5	35
3	2	25/4	25/4	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1	1	1	55	G3	3	49
3	2	25/4	25/4	0.25	1/2	1/2	4/4	1	1	1/16	1/16	1		0	72	C5	5	36
3	2	13/2	13/2	0.25	9/16	9/16	4/4	1	1	1/16	1/16	1		5	71	B4	4	37
3	2	27/4	27/4	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		5	59	B3	3	43
3	2	27/4	27/4	0.25	5/8	5/8	4/4	1	1	1/16	1/16	1		3	69	A4	4	38
3	2	7	7	0.25	11/16	11/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	39
3	2	29/4	29/4	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1	-1	1	55	G3	3	50
3	2	29/4	29/4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	44
3	2	29/4	29/4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1	1	5	71	B4	4	40
3	2	15/2	15/2	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		6	54	F#3	3	51
3	2	31/4	31/4	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		4	52	E3	3	52
3	2	31/4	31/4	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	45
3	2	8	8	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		2	50	D3	3	53
4	3	33/4	33/4	1.5	0	0	4/4	2	2	3/8	1/4	3/2		7	49	C#3	3	75
4	3	33/4	33/4	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	70
4	3	33/4	33/4	0.25	0	0	4/4	1	1	1/16	1/16	1	-1	5	71	B4	4	54
4	3	17/2	17/2	0.25	1/16	1/16	4/4	1	1	1/16	1/16	1		4	76	E5	5	55
4	3	35/4	35/4	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52	E3	3	71
4	3	35/4	35/4	0.25	1/8	1/8	4/4	1	1	1/16	1/16	1		3	69	A4	4	56
4	3	9	9	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1		4	76	E5	5	57
4	3	37/4	37/4	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	72
4	3	37/4	37/4	0.25	1/4	1/4	4/4	1	1	1/16	1/16	1		1	67	G4	4	58
4	3	19/2	19/2	0.25	5/16	5/16	4/4	1	1	1/16	1/16	1		6	66	F#4	4	59
4	3	39/4	39/4	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	76
4	3	39/4	39/4	0.25	3/8	3/8	4/4	1	1	1/16	1/16	1		1	67	G4	4	60
4	3	10	10	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		4	76	E5	5	61
4	3	41/4	41/4	1.5	1/2	1/2	4/4	2	2	3/8	1/4	3/2		2	50	D3	3	77
4	3	41/4	41/4	0.25	1/2	1/2	4/4	1	1	1/16	1/16	1		1	67	G4	4	62
4	3	21/2	21/2	0.25	9/16	9/16	4/4	1	1	1/16	1/16	1		6	66	F#4	4	63
4	3	43/4	43/4	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	73
4	3	43/4	43/4	0.25	5/8	5/8	4/4	1	1	1/16	1/16	1		4	64	E4	4	64
4	3	11	11	0.25	11/16	11/16	4/4	1	1	1/16	1/16	1		2	62	D4	4	65
4	3	45/4	45/4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	74
4	3	45/4	45/4	0.25	3/4	3/4	4/4	1	1	1/16	1/16	1		4	64	E4	4	66
4	3	23/2	23/2	0.25	13/16	13/16	4/4	1	1	1/16	1/16	1		6	66	F#4	4	67
4	3	47/4	47/4	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	78
4	3	47/4	47/4	0.25	7/8	7/8	4/4	1	1	1/16	1/16	1		1	67	G4	4	68
4	3	12	12	0.25	15/16	15/16	4/4	1	1	1/16	1/16	1		6	66	F#4	4	69
5	4	49/4	49/4	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	96
5	4	49/4	49/4	0.5	0	0	4/4	2	1	1/8	1/8	1		2	50	D3	3	91
5	4	49/4	49/4	0.25	0	0	4/4	1	1	1/16	1/16	1		1	67	G4	4	79
5	4	25/2	25/2	0.25	1/16	1/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	80
5	4	51/4	51/4	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1	1	1	55	G3	3	92
5	4	51/4	51/4	0.25	1/8	1/8	4/4	1	1	1/16	1/16	1		1	67	G4	4	81
5	4	13	13	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	82
5	4	53/4	53/4	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	97
