mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	11/8	3/2	1	1	1/8		1/8	1		3	81	A5	5	0
2	1	1/2	1/2	0.5	0	0	3/2	2	2	1/8		1/8	1		3	57	A3	3	14
2	1	1/2	1/2	3.0	0	0	3/2	2	1	3/4		1/2	3/2		3	57	A3	3	10
2	1	1/2	1/2	1.5	0	0	3/2	1	2	3/8		1/4	3/2		7	73	C#5	5	9
2	1	1/2	1/2	1.5	0	0	3/2	1	2	3/8		1/4	3/2		4	76	E5	5	9
2	1	1/2	1/2	1.5	0	0	3/2	1	1	3/8		1/4	3/2		3	81	A5	5	1
2	1	1	1	0.5	1/8	1/8	3/2	2	2	1/8		1/8	1		3	45	A2	2	15
2	1	3/2	3/2	0.5	1/4	1/4	3/2	2	2	1/8		1/8	1		5	47	B2	2	16
2	1	2	2	0.5	3/8	3/8	3/2	2	2	1/8		1/8	1		7	49	C#3	3	17
2	1	2	2	0.5	3/8	3/8	3/2	1	1	1/8		1/8	1		8	80	G#5	5	2
2	1	5/2	5/2	1.0	1/2	1/2	3/2	2	2	1/4		1/4	1		2	50	D3	3	18
2	1	5/2	5/2	0.5	1/2	1/2	3/2	1	1	1/8		1/8	1		6	78	F#5	5	3
2	1	3	3	0.5	5/8	5/8	3/2	1	1	1/8		1/8	1		4	76	E5	5	4
2	1	7/2	7/2	1.0	3/4	3/4	3/2	2	2	1/4		1/4	1		4	52	E3	3	19
2	1	7/2	7/2	1.0	3/4	3/4	3/2	2	1	1/4		1/4	1		8	56	G#3	3	11
2	1	7/2	7/2	0.5	3/4	3/4	3/2	1	1	1/8		1/8	1		2	74	D5	5	5
2	1	4	4	0.5	7/8	7/8	3/2	1	1	1/8		1/8	1		7	73	C#5	5	6
2	1	9/2	9/2	1.0	1	1	3/2	2	2	1/4		1/4	1		6	54	F#3	3	20
2	1	9/2	9/2	1.0	1	1	3/2	2	1	1/4		1/4	1		3	57	A3	3	12
2	1	9/2	9/2	1.5	1	1	3/2	1	1	3/8		1/4	3/2		2	74	D5	5	7
2	1	11/2	11/2	1.0	5/4	5/4	3/2	2	2	1/4		1/4	1		8	56	G#3	3	21
