mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/2	StaffText	2/2	1	1	0				4. Gavotte						
1	0	0	0	0.0	0	1/2	Tempo	2/2	1	1	0					𝅗𝅥=100	200.0	𝅗𝅥	100.0	1.0	
1	0	0	0	1.0	0	1/2	Chord	2/2	1	1	1/4	1/4	1	0							
1	0	1	1	1.0	1/4	3/4	Chord	2/2	1	1	1/4	1/4	1	1							
1	0	0	0	1.0	0	1/2	Chord	2/2	1	2	1/4	1/4	1	2							
1	0	1	1	1.0	1/4	3/4	Chord	2/2	1	2	1/4	1/4	1	3							
1	0	0	0	1.0	0	1/2	Chord	2/2	2	1	1/4	1/4	1	4							
1	0	1	1	1.0	1/4	3/4	Chord	2/2	2	1	1/4	1/4	1	5							
2	1	2	2	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	6							
2	1	3	3	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	7							
2	1	7/2	7/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	8							
2	1	4	4	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	9							
2	1	5	5	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	10							
2	1	2	2	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	11							
2	1	4	4	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	12							
2	1	5	5	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	13							
2	1	2	2	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	14							
2	1	3	3	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	15							
2	1	4	4	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	16							
2	1	5	5	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	17							
3	2	6	6	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	18							
3	2	8	8	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	19							
3	2	9	9	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	20							
3	2	6	6	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	21							
3	2	8	8	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	22							
3	2	9	9	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	23							
3	2	6	6	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	24							
3	2	7	7	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	25							
3	2	8	8	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	26							
3	2	9	9	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	27							
4	3	10	10	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	28							
4	3	11	11	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	29							
4	3	23/2	23/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	30							
4	3	12	12	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	31							
4	3	25/2	25/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	32							
4	3	13	13	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	33							
4	3	27/2	27/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	34							
4	3	10	10	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	35							
4	3	12	12	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	36							
