mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	12/8	1	1	0					𝅘𝅥space.=80	120.0	𝅘𝅥space.	80.0	0.0	
1	1	15/4	15/4	0.25	15/16	15/16	Chord	12/8	1	1	1/16	1/16	1	0							
1	1	4	4	0.25	1	1	Chord	12/8	1	1	1/16	1/16	1	1							
1	1	17/4	17/4	0.25	17/16	17/16	Chord	12/8	1	1	1/16	1/16	1	2							
1	1	21/4	21/4	0.25	21/16	21/16	Chord	12/8	1	1	1/16	1/16	1	3							
1	1	11/2	11/2	0.25	11/8	11/8	Chord	12/8	1	1	1/16	1/16	1	4							
1	1	23/4	23/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16	1/16	1	5							
1	1	9/2	9/2	0.25	9/8	9/8	Chord	12/8	1	2	1/16	1/16	1	6							
1	1	19/4	19/4	0.25	19/16	19/16	Chord	12/8	1	2	1/16	1/16	1	7							
1	1	5	5	0.25	5/4	5/4	Chord	12/8	1	2	1/16	1/16	1	8							
1	1	3/4	3/4	0.25	3/16	3/16	Chord	12/8	2	1	1/16	1/16	1	9							
1	1	1	1	0.25	1/4	1/4	Chord	12/8	2	1	1/16	1/16	1	10							
1	1	5/4	5/4	0.25	5/16	5/16	Chord	12/8	2	1	1/16	1/16	1	11							
1	1	9/4	9/4	0.25	9/16	9/16	Chord	12/8	2	1	1/16	1/16	1	12							
1	1	5/2	5/2	0.25	5/8	5/8	Chord	12/8	2	1	1/16	1/16	1	13							
1	1	11/4	11/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16	1/16	1	14							
1	1	0	0	0.25	0	0	Chord	12/8	2	2	1/16	1/16	1	15							
1	1	1/4	1/4	0.25	1/16	1/16	Chord	12/8	2	2	1/16	1/16	1	16							
1	1	1/2	1/2	0.25	1/8	1/8	Chord	12/8	2	2	1/16	1/16	1	17							
1	1	3/2	3/2	0.25	3/8	3/8	Chord	12/8	2	2	1/16	1/16	1	18							
1	1	7/4	7/4	0.25	7/16	7/16	Chord	12/8	2	2	1/16	1/16	1	19							
1	1	2	2	0.25	1/2	1/2	Chord	12/8	2	2	1/16	1/16	1	20							
1	1	3	3	0.25	3/4	3/4	Chord	12/8	2	2	1/16	1/16	1	21							
1	1	13/4	13/4	0.25	13/16	13/16	Chord	12/8	2	2	1/16	1/16	1	22							
1	1	7/2	7/2	0.25	7/8	7/8	Chord	12/8	2	2	1/16	1/16	1	23							
2	2	7	7	0.25	1/4	1/4	Chord	12/8	1	1	1/16	1/16	1	24							
2	2	29/4	29/4	0.25	5/16	5/16	Chord	12/8	1	1	1/16	1/16	1	25							
2	2	15/2	15/2	0.25	3/8	3/8	Chord	12/8	1	1	1/16	1/16	1	26							
2	2	31/4	31/4	0.25	7/16	7/16	Chord	12/8	1	1	1/16	1/16	1	27							
2	2	8	8	0.25	1/2	1/2	Chord	12/8	1	1	1/16	1/16	1	28							
2	2	33/4	33/4	0.25	9/16	9/16	Chord	12/8	1	1	1/16	1/16	1	29							
2	2	17/2	17/2	0.25	5/8	5/8	Chord	12/8	1	1	1/16	1/16	1	30							
2	2	35/4	35/4	0.25	11/16	11/16	Chord	12/8	1	1	1/16	1/16	1	31							
2	2	9	9	1.5	3/4	3/4	Chord	12/8	1	1	3/8	1/4	3/2	32							
2	2	21/2	21/2	1.5	9/8	9/8	Chord	12/8	1	1	3/8	1/4	3/2	33							
2	2	6	6	0.25	0	0	Chord	12/8	1	2	1/16	1/16	1	34							
2	2	25/4	25/4	0.25	1/16	1/16	Chord	12/8	1	2	1/16	1/16	1	35							
2	2	13/2	13/2	0.25	1/8	1/8	Chord	12/8	1	2	1/16	1/16	1	36							
2	2	27/4	27/4	0.25	3/16	3/16	Chord	12/8	1	2	1/16	1/16	1	37							
2	2	9	9	0.5	3/4	3/4	Chord	12/8	1	2	1/8	1/8	1	38							
2	2	19/2	19/2	0.25	7/8	7/8	Chord	12/8	1	2	1/16	1/16	1	39							
2	2	39/4	39/4	0.25	15/16	15/16	Chord	12/8	1	2	1/16	1/16	1	40							
2	2	10	10	0.25	1	1	Chord	12/8	1	2	1/16	1/16	1	41							
2	2	41/4	41/4	0.25	17/16	17/16	Chord	12/8	1	2	1/16	1/16	1	42							
2	2	43/4	43/4	0.25	19/16	19/16	Chord	12/8	1	2	1/16	1/16	1	43							
2	2	11	11	0.25	5/4	5/4	Chord	12/8	1	2	1/16	1/16	1	44							
2	2	45/4	45/4	0.25	21/16	21/16	Chord	12/8	1	2	1/16	1/16	1	45							
2	2	23/2	23/2	0.25	11/8	11/8	Chord	12/8	1	2	1/16	1/16	1	46							
2	2	47/4	47/4	0.25	23/16	23/16	Chord	12/8	1	2	1/16	1/16	1	47							
2	2	23/2	23/2	0.5	11/8	11/8	Chord	12/8	1	3	1/8	1/8	1	48							
2	2	10	10	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	49							
2	2	21/2	21/2	1.5	9/8	9/8	Chord	12/8	2	1	3/8	1/4	3/2	50							
2	2	21/2	21/2	1.5	9/8	9/8	Chord	12/8	2	2	3/8	1/4	3/2	51							
3	3	12	12	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	52							
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	53							
3	3	13	13	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	54							
3	3	27/2	27/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	55							
3	3	14	14	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	56							
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	57							
3	3	15	15	1.5	3/4	3/4	Chord	12/8	1	1	3/8	1/4	3/2	58							
3	3	33/2	33/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	59							
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	60							
3	3	12	12	1.0	0	0	Chord	12/8	1	2	1/4	1/4	1	61							
3	3	15	15	0.5	3/4	3/4	Chord	12/8	1	2	1/8	1/8	1	62							
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	1	2	1/8	1/8	1	63							
3	3	16	16	0.5	1	1	Chord	12/8	1	2	1/8	1/8	1	64							
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	1	2	1/8	1/8	1	65							
3	3	17	17	0.5	5/4	5/4	Chord	12/8	1	2	1/8	1/8	1	66							
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	1	2	1/8	1/8	1	67							
3	3	12	12	1.0	0	0	Chord	12/8	1	3	1/4	1/4	1	68							
3	3	12	12	1.0	0	0	Chord	12/8	2	1	1/4	1/4	1	69							
3	3	12	12	1.0	0	0	Chord	12/8	2	2	1/4	1/4	1	70							
3	3	12	12	1.0	0	0	Chord	12/8	2	3	1/4	1/4	1	71							
4	4	18	18	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	72							
