mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	StaffText	3/4	1	1	0						6. Menuet II						
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0							𝅗𝅥.=64	192.0	𝅗𝅥.	64.0	0.0	
1	1	0	0	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	0								
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1								
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2								
1	1	0	0	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	3								
1	1	1/2	1/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	4								
1	1	1	1	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	5								
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	6								
1	1	2	2	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	7								
1	1	5/2	5/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	8								
2	2	3	3	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	9	ornamentShortTrill							
2	2	4	4	0.0		1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	10								
2	2	4	4	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	11								
2	2	3	3	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	12								
2	2	7/2	7/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	13								
2	2	4	4	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	14								
2	2	9/2	9/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	15								
2	2	5	5	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	16								
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	17								
3	3	6	6	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	18								
3	3	7	7	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	19								
3	3	15/2	15/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	20								
3	3	8	8	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	21								
3	3	17/2	17/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	22								
3	3	6	6	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	23								
3	3	13/2	13/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	24								
3	3	7	7	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	25								
3	3	15/2	15/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	26								
3	3	8	8	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	27								
3	3	17/2	17/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	28								
4	4	9	9	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	29								
4	4	10	10	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	30								
4	4	21/2	21/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	31								
