mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	11/8	Tempo	12/8	1	1	0					𝅘𝅥.=115	172.0	𝅘𝅥.	115.0	0.0
1	0	0	0	0.5	0	11/8	Chord	12/8	1	1	1/8	1/8	1	0						
2	1	1/2	1/2	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	1						
2	1	1	1	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	2						
2	1	3/2	3/2	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	3						
2	1	2	2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	4						
2	1	5/2	5/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	5						
2	1	3	3	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	6						
2	1	9/2	9/2	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	7						
2	1	7/2	7/2	1.0	3/4	3/4	Chord	12/8	1	2	1/4	1/4	1	8						
2	1	5	5	1.5	9/8	9/8	Chord	12/8	1	2	3/8	1/4	3/2	9						
2	1	3	3	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	10						
2	1	7/2	7/2	0.5	3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	11						
2	1	4	4	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	12						
2	1	9/2	9/2	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	13						
2	1	5	5	0.5	9/8	9/8	Chord	12/8	2	1	1/8	1/8	1	14						
2	1	11/2	11/2	0.5	5/4	5/4	Chord	12/8	2	1	1/8	1/8	1	15						
2	1	6	6	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	16						
3	2	13/2	13/2	0.5	0	0	Chord	12/8	1	2	1/8	1/8	1	17						
3	2	7	7	0.5	1/8	1/8	Chord	12/8	1	2	1/8	1/8	1	18						
3	2	15/2	15/2	0.5	1/4	1/4	Chord	12/8	1	2	1/8	1/8	1	19						
3	2	8	8	0.5	3/8	3/8	Chord	12/8	1	2	1/8	1/8	1	20						
3	2	17/2	17/2	0.5	1/2	1/2	Chord	12/8	1	2	1/8	1/8	1	21						
3	2	9	9	0.5	5/8	5/8	Chord	12/8	1	2	1/8	1/8	1	22						
3	2	19/2	19/2	0.5	3/4	3/4	Chord	12/8	1	2	1/8	1/8	1	23						
3	2	10	10	0.5	7/8	7/8	Chord	12/8	1	2	1/8	1/8	1	24						
3	2	21/2	21/2	0.5	1	1	Chord	12/8	1	2	1/8	1/8	1	25						
3	2	11	11	0.5	9/8	9/8	Chord	12/8	1	2	1/8	1/8	1	26						
3	2	23/2	23/2	0.5	5/4	5/4	Chord	12/8	1	2	1/8	1/8	1	27						
3	2	12	12	0.5	11/8	11/8	Chord	12/8	1	2	1/8	1/8	1	28						
3	2	13/2	13/2	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	29						
3	2	8	8	1.5	3/8	3/8	Chord	12/8	2	1	3/8	1/4	3/2	30						
3	2	19/2	19/2	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	31						
3	2	21/2	21/2	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	32						
3	2	11	11	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	33						
3	2	12	12	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	34						
4	3	14	14	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	35						
4	3	29/2	29/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	36						
4	3	15	15	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	37						
