mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	15/16	StaffText	4/4	1	1	0					Französische Suite Nr. 6 in E-Dur.					
1	0	0	0	0.0	0	15/16	StaffText	4/4	1	1	0					1. Allemande					
1	0	0	0	0.0	0	15/16	Tempo	4/4	1	1	0						𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0
1	0	0	0	0.25	0	15/16	Chord	4/4	1	1	1/16	1/16	1	0							
2	1	1/4	1/4	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	1							
2	1	1/2	1/2	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	2							
2	1	3/4	3/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	3							
2	1	1	1	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	4							
2	1	5/4	5/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	5							
2	1	3/2	3/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	6							
2	1	7/4	7/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	7							
2	1	2	2	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	8							
2	1	9/4	9/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	9							
2	1	5/2	5/2	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	10							
2	1	11/4	11/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	11							
2	1	3	3	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	12							
2	1	13/4	13/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	13							
2	1	7/2	7/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	14							
2	1	15/4	15/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	15							
2	1	4	4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	16							
2	1	3/4	3/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	17							
2	1	5/4	5/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	18							
2	1	7/4	7/4	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	19							
2	1	9/4	9/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	20							
2	1	11/4	11/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	21							
2	1	13/4	13/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	22							
2	1	15/4	15/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	23							
3	2	17/4	17/4	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	24							
3	2	9/2	9/2	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	25							
3	2	19/4	19/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	26							
3	2	5	5	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	27							
3	2	21/4	21/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	28							
3	2	11/2	11/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	29							
3	2	23/4	23/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	30							
3	2	6	6	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	31							
3	2	25/4	25/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	32							
3	2	13/2	13/2	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	33							
3	2	27/4	27/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	34							
3	2	7	7	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	35							
3	2	29/4	29/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	36							
3	2	15/2	15/2	0.0	13/16	13/16	StaffText	4/4	1	1	0					"Johann Sebastian Bach
BWV 817"					
3	2	15/2	15/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	37							
3	2	31/4	31/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	38							
3	2	8	8	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	39							
3	2	17/4	17/4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	40							
3	2	19/4	19/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	41							
3	2	21/4	21/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	42							
3	2	23/4	23/4	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	43							
3	2	25/4	25/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	44							
3	2	27/4	27/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	45							
3	2	29/4	29/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	46							
3	2	31/4	31/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	47							
4	3	33/4	33/4	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	48							
4	3	17/2	17/2	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	49							
4	3	35/4	35/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	50							
4	3	9	9	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	51							
4	3	37/4	37/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	52							
4	3	19/2	19/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	53							
4	3	39/4	39/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	54							
4	3	10	10	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	55							
4	3	41/4	41/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	56							
4	3	21/2	21/2	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	57							
4	3	43/4	43/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	58							
4	3	11	11	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	59							
4	3	45/4	45/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	60							
4	3	23/2	23/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	61							
4	3	47/4	47/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	62							
4	3	12	12	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	63							
4	3	33/4	33/4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	64							
4	3	35/4	35/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	65							
4	3	37/4	37/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	66							
4	3	39/4	39/4	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	67							
4	3	41/4	41/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	68							
4	3	43/4	43/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	69							
4	3	45/4	45/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	70							
