mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	50							
9	9	12	12	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	51							
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	52							
9	9	13	13	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	53							
9	9	12	12	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	54							
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	55							
9	9	25/2	25/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	56							
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	57							
9	9	13	13	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	58							
9	9	53/4	53/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	59							
10	10	27/2	27/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	60							
10	10	14	14	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	61							
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	62							
10	10	27/2	27/2	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	63							
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	64							
10	10	14	14	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	65							
10	10	57/4	57/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	66							
10	10	29/2	29/2	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	67							
10	10	59/4	59/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	68							
11	11	15	15	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	69							
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	70							
11	11	16	16	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	71							
11	11	15	15	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	72							
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	73							
11	11	31/2	31/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	74							
11	11	63/4	63/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	75							
11	11	16	16	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	76							
11	11	65/4	65/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	77							
12	12	33/2	33/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	78							
12	12	67/4	67/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	79							
12	12	17	17	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	80							
12	12	69/4	69/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	81							
12	12	35/2	35/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	82							
12	12	71/4	71/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	83							
12	12	33/2	33/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	84							0
12	12	17	17	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	85							
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	86							
13	13	18	18	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	87							
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	88							
13	13	19	19	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	89							
13	13	18	18	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	90							
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	91							
13	13	19	19	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	92							
13	13	18	18	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	93							
13	13	73/4	73/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	94							
13	13	37/2	37/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	95							
13	13	75/4	75/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	96							
13	13	19	19	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	97							
13	13	77/4	77/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	98							
14	14	39/2	39/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	99							
14	14	20	20	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	100							
14	14	39/2	39/2	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	101							
14	14	79/4	79/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	102							
14	14	20	20	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	103							
14	14	81/4	81/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	104							
14	14	41/2	41/2	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	105							
14	14	83/4	83/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	106							
14	14	39/2	39/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	107							
14	14	20	20	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	108							
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	109							
15	15	21	21	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	110							
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	111							
15	15	21	21	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	112							
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	113							
15	15	43/2	43/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	114							
15	15	87/4	87/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	115							
15	15	22	22	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	116							
15	15	89/4	89/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	117							
15	15	21	21	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	118							
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	119							
15	15	22	22	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	120							
16	16	45/2	45/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	121							
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	122							
16	16	45/2	45/2	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	123							
16	16	91/4	91/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	124							
16	16	23	23	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	125							
16	16	93/4	93/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	126							
16	16	47/2	47/2	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	127							
16	16	95/4	95/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	128							
16	16	45/2	45/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	129							
16	16	23	23	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	130							
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	131							
17	17	24	24	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	132							
17	17	49/2	49/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	133							
17	17	24	24	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	134							
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	135							
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	136							
17	17	24	24	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	137							
17	17	97/4	97/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	138							
17	17	49/2	49/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	139							
17	17	99/4	99/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	140							
17	17	25	25	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	141							
17	17	101/4	101/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	142							
18	18	51/2	51/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	143							
18	18	51/2	51/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	144							
18	18	26	26	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	145							
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	146							
18	18	51/2	51/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	147							
18	18	103/4	103/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	148							
18	18	26	26	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	149							
18	18	105/4	105/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	150							
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	151							
18	18	107/4	107/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	152							
19	19	27	27	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	153							
19	19	27	27	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	154							
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	155							
19	19	28	28	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	156							
19	19	27	27	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	157							
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	158							
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	159							
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	160							
19	19	28	28	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	161							
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	162							
20	20	57/2	57/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	163							
20	20	115/4	115/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	164							
20	20	29	29	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	165							
20	20	117/4	117/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	166							
20	20	59/2	59/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	167							
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	168							
20	20	57/2	57/2	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	169							
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	170							
20	20	57/2	57/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	171							
20	20	29	29	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	172							
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	173							
21	21	30	30	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	174							
21	21	121/4	121/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	175							
21	21	61/2	61/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	176							
21	21	123/4	123/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	177							
21	21	31	31	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	178							
21	21	125/4	125/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	179							
21	21	30	30	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	180							
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	181							
21	21	31	31	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	182							
22	22	63/2	63/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	183							
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	184							
22	22	32	32	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	185							
22	22	129/4	129/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	186							
22	22	65/2	65/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	187							
22	22	131/4	131/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	188							
22	22	63/2	63/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	189							
22	22	32	32	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	190							
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	191							
23	23	33	33	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	192							
23	23	133/4	133/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	193							
23	23	67/2	67/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	194							
23	23	135/4	135/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	195							
23	23	34	34	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	196							
23	23	137/4	137/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	197							
23	23	33	33	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	198							
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	199							
23	23	34	34	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	200							
24	24	69/2	69/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	201							
24	24	139/4	139/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	202							
24	24	35	35	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	203							
24	24	141/4	141/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	204							
24	24	71/2	71/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	205							
24	24	143/4	143/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	206							
24	24	69/2	69/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	207							
24	24	35	35	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	208							
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	209							
25	25	36	36	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	210							
25	25	145/4	145/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	211							
25	25	73/2	73/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	212							
25	25	147/4	147/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	213							
25	25	37	37	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	214							
25	25	149/4	149/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	215							
25	25	36	36	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	216							
26	26	75/2	75/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	217							
26	26	153/4	153/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	218							
26	26	77/2	77/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	219							
26	26	155/4	155/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	220							
26	26	75/2	75/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	221							
26	26	151/4	151/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	222							
26	26	38	38	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	223							
26	26	153/4	153/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	224							
26	26	77/2	77/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	225							
26	26	155/4	155/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	226							
27	27	39	39	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	227							
27	27	157/4	157/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	228							
27	27	79/2	79/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	229							
27	27	159/4	159/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	230							
27	27	40	40	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	231							
27	27	161/4	161/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	232							
27	27	39	39	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	233							
27	27	79/2	79/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	234							
27	27	40	40	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	235							
27	27	39	39	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	236							
28	28	81/2	81/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	237							
28	28	41	41	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	238							
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	239							
28	28	81/2	81/2	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	240							
28	28	163/4	163/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	241							
28	28	41	41	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	242							
28	28	165/4	165/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	243							
28	28	83/2	83/2	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	244							
28	28	167/4	167/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	245							
28	28	81/2	81/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	246							
28	28	41	41	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	247							
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	248							
29	29	42	42	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	249							
29	29	85/2	85/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	250							
29	29	43	43	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	251							
29	29	42	42	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	252							
29	29	169/4	169/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	253							
29	29	85/2	85/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	254							
29	29	171/4	171/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	255							
29	29	43	43	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	256							
29	29	173/4	173/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	257							
29	29	42	42	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	258							
29	29	85/2	85/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	259							
29	29	43	43	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	260							
29	29	173/4	173/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	261							
30	30	87/2	87/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	262							
30	30	44	44	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	263							
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	264							
30	30	87/2	87/2	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	265							
30	30	175/4	175/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	266							
30	30	44	44	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	267							
30	30	177/4	177/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	268							
30	30	89/2	89/2	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	269							
30	30	179/4	179/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	270							
30	30	87/2	87/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	271							
30	30	44	44	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	272							
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	273							
31	31	45	45	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	274							
31	31	46	46	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	275							
31	31	45	45	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	276							
31	31	91/2	91/2	1.0	1/8	1/8	Chord	3/8	1	2	1/4		1/4	1	277							
31	31	45	45	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	278							
31	31	181/4	181/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	279							
31	31	91/2	91/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	280							
31	31	183/4	183/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	281							
31	31	46	46	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	282							
31	31	185/4	185/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	283							
32	32	93/2	93/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	284							
32	32	95/2	95/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	285							
32	32	93/2	93/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	286							
32	32	47	47	1.0	1/8	1/8	Chord	3/8	1	2	1/4		1/4	1	287							
32	32	93/2	93/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	288							
32	32	187/4	187/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	289							
32	32	47	47	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	290							
32	32	189/4	189/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	291							
32	32	95/2	95/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	292							
