mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	5.5	0	11/8	3/2	2	1	e.i{		e	i		i	i						{	m	1	1	0, -3, 1		0	0
2	1	11/2	11/2	1.0	5/4	5/4	3/2	2	1	#viio7		e	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
3	2	13/2	13/2	2.0	0	0	3/2	2	1	i		e	i		i	i							m	1	1	0, -3, 1		0	0
3	2	17/2	17/2	1.0	1/2	1/2	3/2	2	1	iio6		e	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	2	19/2	19/2	1.0	3/4	3/4	3/2	2	1	#viio2		e	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
3	2	21/2	21/2	1.0	1	1	3/2	2	1	i6		e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	23/2	23/2	1.0	5/4	5/4	3/2	2	1	i		e	i		i	i							m	1	1	0, -3, 1		0	0
4	3	25/2	25/2	2.0	0	0	3/2	2	1	V		e	i		V	V							M	1	1	1, 5, 2		1	1
4	3	29/2	29/2	2.0	1/2	1/2	3/2	2	1	i64		e	i		i64	i		64					m	1	1	1, 0, -3		0	1
4	3	33/2	33/2	2.0	1	1	3/2	2	1	#viio7		e	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
5	4	37/2	37/2	2.0	0	0	3/2	2	1	i		e	i		i	i							m	1	1	0, -3, 1		0	0
5	4	41/2	41/2	2.0	1/2	1/2	3/2	2	1	V/iv		e	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
5	4	45/2	45/2	1.5	1	1	3/2	2	1	#viio7(4)/iv		e	i		#viio7(4)/iv	#vii	o	7	4	iv			o7	1	1	4, -4, -2, -5		4	4
5	4	24	24	0.5	11/8	11/8	3/2	2	1	#viio7/iv		e	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
6	5	49/2	49/2	4.0	0	0	3/2	2	1	iv		e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	5	57/2	57/2	1.0	1	1	3/2	2	1	III6		e	i		III6	III		6					M	1	1	1, -2, -3		-3	1
6	5	59/2	59/2	1.0	5/4	5/4	3/2	2	1	III		e	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	6	61/2	61/2	5.0	0	0	3/2	2	1	V/III|HC}{		e	i		V/III	V				III	HC	}{	M	1	1	-2, 2, -1		-2	-2
7	6	71/2	71/2	1.0	5/4	5/4	3/2	2	1	V7/III		e	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
