mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	3/4	2/2	2	1	a.i64{		a	i		i64	i		64				{	m	1	1	1, 0, -3		0	1
2	1	1	1.0	0	0	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1	2	1.0	1/4	1/4	2/2	2	1	VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
2	1	3	1.0	1/2	1/2	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1	4	1.0	3/4	3/4	2/2	2	1	iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
3	2	5	1.0	0	0	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	6	1.0	1/4	1/4	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
3	2	7	1.0	1/2	1/2	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	8	1.0	3/4	3/4	2/2	2	1	V2		a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
4	3	9	1.0	0	0	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	10	1.0	1/4	1/4	2/2	2	1	VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
4	3	11	1.0	1/2	1/2	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	12	1.0	3/4	3/4	2/2	2	1	iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
5	4	13	1.0	0	0	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	4	14	1.0	1/4	1/4	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
5	4	15	1.0	1/2	1/2	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	4	16	1.0	3/4	3/4	2/2	2	1	V2		a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
6	5	17	1.0	0	0	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	18	1.0	1/4	1/4	2/2	2	1	VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
6	5	19	1.0	1/2	1/2	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	20	1.0	3/4	3/4	2/2	2	1	iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
7	6	21	1.0	0	0	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	6	22	1.0	1/4	1/4	2/2	2	1	VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
7	6	23	1.0	1/2	1/2	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	6	24	1.0	3/4	3/4	2/2	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	7	25	1.0	0	0	2/2	2	1	V(64)		a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
