quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
23	1.0	7	6	1/2	1/2	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
24	1.0	7	6	3/4	3/4	2/2	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
25	1.0	8	7	0	0	2/2	2	1	V(64)		a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
26	1.0	8	7	1/4	1/4	2/2	2	1	iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
27	1.0	8	7	1/2	1/2	2/2	2	1	#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
28	1.0	8	7	3/4	3/4	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
29	3.0	9	8	0	0	2/2	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
32	1.0	9	8	3/4	3/4	2/2	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
33	1.0	10	9	0	0	2/2	2	1	i64		a	i		i64	i		64					m	1	1	1, 0, -3		0	1
34	1.0	10	9	1/4	1/4	2/2	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
35	1.0	10	9	1/2	1/2	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
36	1.0	10	9	3/4	3/4	2/2	2	1	iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
37	1.0	11	10	0	0	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
38	1.0	11	10	1/4	1/4	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
39	0.5	11	10	1/2	1/2	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
79/2	0.5	11	10	5/8	5/8	2/2	2	1	iio6		a	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
40	0.5	11	10	3/4	3/4	2/2	2	1	III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
81/2	0.5	11	10	7/8	7/8	2/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
41	1.0	12	11	0	0	2/2	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
42	1.0	12	11	1/4	1/4	2/2	2	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
43	1.0	12	11	1/2	1/2	2/2	2	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
44	1.0	12	11	3/4	3/4	2/2	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
45	1.0	13	12	0	0	2/2	2	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
46	1.0	13	12	1/4	1/4	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
47	0.5	13	12	1/2	1/2	2/2	2	1	III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
95/2	0.5	13	12	5/8	5/8	2/2	2	1	IV6		a	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
48	0.5	13	12	3/4	3/4	2/2	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
97/2	0.5	13	12	7/8	7/8	2/2	2	1	iio6/v		a	i		iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0
49	1.0	14	13	0	0	2/2	2	1	III6/v		a	i		III6/v	III		6		v			M	1	1	2, -1, -2		-2	2
50	1.0	14	13	1/4	1/4	2/2	2	1	iv/v		a	i		iv/v	iv				v			m	1	1	0, -3, 1		0	0
51	1.0	14	13	1/2	1/2	2/2	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
52	1.0	14	13	3/4	3/4	2/2	2	1	iio/v		a	i		iio/v	ii	o			v			o	1	1	3, 0, -3		3	3
53	1.0	15	14	0	0	2/2	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
54	1.0	15	14	1/4	1/4	2/2	2	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
55	1.0	15	14	1/2	1/2	2/2	2	1	VI/v		a	i		VI/v	VI				v			M	1	1	-3, 1, -2		-3	-3
56	1.0	15	14	3/4	3/4	2/2	2	1	ii%65/v		a	i		ii%65/v	ii	%	65		v			%7	1	1	0, -3, 1, 3		3	0
57	1.0	16	15	0	0	2/2	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
58	1.0	16	15	1/4	1/4	2/2	2	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
59	1.0	16	15	1/2	1/2	2/2	2	1	V(64)/v		a	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
60	1.0	16	15	3/4	3/4	2/2	2	1	V/v		a	i		V/v	V				v			M	1	1	2, 6, 3		2	2
61	4.0	17	16	0	0	2/2	2	1	v\\		a	i		v	v						\\	m	1	1	1, -2, 2		1	1
65	1.0	19	17	0	0	2/2	2	1	#viio64/iv		a	i		#viio64/iv	#vii	o	64		iv			o	1	1	-2, 4, 1		4	-2
66	1.0	19	17	1/4	1/4	2/2	2	1	ii/iv		a	i		ii/iv	ii				iv			m	1	1	1, -2, 2		1	1
67	1.0	19	17	1/2	1/2	2/2	2	1	#viio64/iv		a	i		#viio64/iv	#vii	o	64		iv			o	1	1	-2, 4, 1		4	-2
68	1.0	19	17	3/4	3/4	2/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
69	1.0	20	18	0	0	2/2	2	1	iio6/iv		a	i		iio6/iv	ii	o	6		iv			o	1	1	-2, -5, 1		1	-2
70	1.0	20	18	1/4	1/4	2/2	2	1	iio/iv		a	i		iio/iv	ii	o			iv			o	1	1	1, -2, -5		1	1
71	1.0	20	18	1/2	1/2	2/2	2	1	iv/iv		a	i		iv/iv	iv				iv			m	1	1	-2, -5, -1		-2	-2
72	1.0	20	18	3/4	3/4	2/2	2	1	V65/iv		a	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
73	1.0	21	19	0	0	2/2	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
74	1.0	21	19	1/4	1/4	2/2	2	1	VI/iv		a	i		VI/iv	VI				iv			M	1	1	-5, -1, -4		-5	-5
75	1.0	21	19	1/2	1/2	2/2	2	1	IV/iv		a	i		IV/iv	IV				iv			M	1	1	-2, 2, -1		-2	-2
76	1.0	21	19	3/4	3/4	2/2	2	1	V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
77	4.0	22	20	0	0	2/2	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
81	1.0	23	21	0	0	2/2	2	1	viio64/III		a	i		viio64/III	vii	o	64		III			o	1	1	-4, 2, -1		2	-4
82	1.0	23	21	1/4	1/4	2/2	2	1	viio6/III		a	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
83	1.0	23	21	1/2	1/2	2/2	2	1	viio64/III		a	i		viio64/III	vii	o	64		III			o	1	1	-4, 2, -1		2	-4
84	1.0	23	21	3/4	3/4	2/2	2	1	viio6/III		a	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
85	1.0	24	22	0	0	2/2	2	1	ii6/III		a	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
86	1.0	24	22	1/4	1/4	2/2	2	1	ii/III		a	i		ii/III	ii				III			m	1	1	-1, -4, 0		-1	-1
87	1.0	24	22	1/2	1/2	2/2	2	1	ii6/III	IV/III	a	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
88	1.0	24	22	3/4	3/4	2/2	2	1	V65/III		a	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
89	1.0	25	23	0	0	2/2	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
90	1.0	25	23	1/4	1/4	2/2	2	1	vi/III		a	i		vi/III	vi				III			m	1	1	0, -3, 1		0	0
91	1.0	25	23	1/2	1/2	2/2	2	1	IV/III		a	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
92	1.0	25	23	3/4	3/4	2/2	2	1	V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
93	2.5	26	24	0	0	2/2	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
191/2	0.5	26	24	5/8	5/8	2/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
96	0.5	26	24	3/4	3/4	2/2	2	1	III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
193/2	0.5	26	24	7/8	7/8	2/2	2	1	iio6		a	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
97	2.0	27	25	0	0	2/2	2	1	i65		a	i		i65	i		65					mm7	1	1	-3, 1, -2, 0		0	-3
99	2.0	27	25	1/2	1/2	2/2	2	1	VIM43		a	i		VIM43	VI	M	43					MM7	1	1	-3, 1, -4, 0		-4	-3
101	2.0	28	26	0	0	2/2	2	1	#viio65		a	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
103	2.0	28	26	1/2	1/2	2/2	2	1	v43		a	i		v43	v		43					mm7	1	1	2, -1, 1, -2		1	2
105	1.0	29	27	0	0	2/2	2	1	#vi%65		a	i		#vi%65	#vi	%	65					%7	1	1	0, -3, 1, 3		3	0
106	1.0	29	27	1/4	1/4	2/2	2	1	VIM65		a	i		VIM65	VI	M	65					MM7	1	1	0, -3, 1, -4		-4	0
107	2.0	29	27	1/2	1/2	2/2	2	1	iv43		a	i		iv43	iv		43					mm7	1	1	0, -3, -1, -4		-1	0
109	2.0	30	28	0	0	2/2	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
111	1.0	30	28	1/2	1/2	2/2	2	1	V2		a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
112	1.0	30	28	3/4	3/4	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
113	1.0	31	29	0	0	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
114	1.0	31	29	1/4	1/4	2/2	2	1	#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
115	1.0	31	29	1/2	1/2	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
116	1.0	31	29	3/4	3/4	2/2	2	1	#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
117	1.0	32	30	0	0	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
118	1.0	32	30	1/4	1/4	2/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
119	1.0	32	30	1/2	1/2	2/2	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
120	0.5	32	30	3/4	3/4	2/2	2	1	#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
241/2	0.5	32	30	7/8	7/8	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
121	1.0	33	31	0	0	2/2	2	1	#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
122	1.0	33	31	1/4	1/4	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
123	1.0	33	31	1/2	1/2	2/2	2	1	#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
124	1.0	33	31	3/4	3/4	2/2	2	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
125	1.0	34	32	0	0	2/2	2	1	#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
126	1.0	34	32	1/4	1/4	2/2	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
127	1.0	34	32	1/2	1/2	2/2	2	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
128	2.0	34	32	3/4	3/4	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
130	1.0	35	33	1/4	1/4	2/2	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
131	1.0	35	33	1/2	1/2	2/2	2	1	iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
132	1.0	35	33	3/4	3/4	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
133	1.0	36	34	0	0	2/2	2	1	#viio7		a	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
134	1.0	36	34	1/4	1/4	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
135	1.0	36	34	1/2	1/2	2/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
136	1.0	36	34	3/4	3/4	2/2	2	1	ii%65		a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
137	1.0	37	35	0	0	2/2	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
138	1.0	37	35	1/4	1/4	2/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
139	1.0	37	35	1/2	1/2	2/2	2	1	V(64)		a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
140	1.0	37	35	3/4	3/4	2/2	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
141	3.0	38	36	0	0	2/2	2	1	i\\		a	i		i	i						\\	m	1	1	0, -3, 1		0	0
