quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1/2	1.0	1	1	1/8	1/8	6/8	2	1	e.V	e	i		V	V							M	1	1	1, 5, 2		1	1
3/2	0.5	1	1	3/8	3/8	6/8	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
2	1.0	1	1	1/2	1/2	6/8	2	1	iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	1.5	2	2	0	0	6/8	2	1	#viio	e	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
9/2	1.5	2	2	3/8	3/8	6/8	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	1.5	3	3	0	0	6/8	2	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
15/2	1.5	3	3	3/8	3/8	6/8	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
9	1.5	4	4	0	0	6/8	2	1	#viio6/v	e	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
21/2	1.5	4	4	3/8	3/8	6/8	2	1	V65/v	e	i		V65/v	V		65		v			Mm7	1	1	6, 3, 0, 2		2	6
12	1.5	5	5	0	0	6/8	2	1	v	e	i		v	v							m	1	1	1, -2, 2		1	1
27/2	1.5	5	5	3/8	3/8	6/8	2	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
15	0.5	6	6	0	0	6/8	2	1	iv64	e	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
31/2	1.0	6	6	1/8	1/8	6/8	2	1	iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
33/2	1.5	6	6	3/8	3/8	6/8	2	1	ii%2	e	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
18	0.5	7	7	0	0	6/8	2	1	#viio	e	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
