mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
16	14	53	53	1.0	0	0	2/2	2	1	ii		E	V		ii	ii							m	0	0	2, -1, 3		2	2
16	14	54	54	1.0	1/4	1/4	2/2	2	1	V7(4)		E	V		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
16	14	55	55	1.0	1/2	1/2	2/2	2	1	I6		E	V		I6	I		6					M	0	0	4, 1, 0		0	4
16	14	56	56	1.0	3/4	3/4	2/2	2	1	I64		E	V		I64	I		64					M	0	0	1, 0, 4		0	1
17	15	57	57	2.0	0	0	2/2	2	1	IV		E	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	15	59	59	2.0	1/2	1/2	2/2	2	1	V		E	V		V	V							M	0	0	1, 5, 2		1	1
18	16	61	61	2.0	0	0	2/2	2	1	I6|IAC}		E	V		I6	I		6			IAC	}	M	0	0	4, 1, 0		0	4
18	16	63	63	1.0	1/2	1/2	2/2	2	1	I		E	V		I	I							M	0	0	0, 4, 1		0	0
18	16	64	64	1.0	3/4	3/4	2/2	2	1	V2/ii{		E	V		V2/ii	V		2		ii		{	Mm7	0	0	1, 3, 7, 4		3	1
19	17	65	65	1.0	0	0	2/2	2	1	ii6		E	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
19	17	66	66	1.0	1/4	1/4	2/2	2	1	V64/ii		E	V		V64/ii	V		64		ii			M	0	0	4, 3, 7		3	4
19	17	67	67	1.0	1/2	1/2	2/2	2	1	V6(4)/ii		E	V		V6(4)/ii	V		6	4	ii			M	0	0	2, 4, 3		3	2
19	17	68	68	1.0	3/4	3/4	2/2	2	1	V6/ii		E	V		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
20	18	69	69	1.0	0	0	2/2	2	1	ii		E	V		ii	ii							m	0	0	2, -1, 3		2	2
20	18	70	70	1.0	1/4	1/4	2/2	2	1	ii64		E	V		ii64	ii		64					m	0	0	3, 2, -1		2	3
20	18	71	71	2.0	1/2	1/2	2/2	2	1	ii6		E	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
21	19	73	73	1.0	0	0	2/2	2	1	ii		E	V		ii	ii							m	0	0	2, -1, 3		2	2
21	19	74	74	1.0	1/4	1/4	2/2	2	1	V/ii		E	V		V/ii	V				ii			M	0	0	3, 7, 4		3	3
21	19	75	75	1.0	1/2	1/2	2/2	2	1	V64(4)/ii		E	V		V64(4)/ii	V		64	4	ii			M	0	0	4, 3, 2		3	4
21	19	76	76	1.0	3/4	3/4	2/2	2	1	V/ii		E	V		V/ii	V				ii			M	0	0	3, 7, 4		3	3
22	20	77	77	2.0	0	0	2/2	2	1	ii6		E	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
22	20	79	79	1.0	1/2	1/2	2/2	2	1	ii		E	V		ii	ii							m	0	0	2, -1, 3		2	2
22	20	80	80	1.0	3/4	3/4	2/2	2	1	ii6		E	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
23	21	81	81	2.0	0	0	2/2	2	1	ii.iio		E	ii		iio	ii	o						o	0	1	2, -1, -4		2	2
23	21	83	83	2.0	1/2	1/2	2/2	2	1	#viio		E	ii		#viio	#vii	o						o	0	1	5, 2, -1		5	5
24	22	85	85	2.0	0	0	2/2	2	1	V		E	ii		V	V							M	0	1	1, 5, 2		1	1
24	22	87	87	2.0	1/2	1/2	2/2	2	1	i6		E	ii		i6	i		6					m	0	1	-3, 1, 0		0	-3
25	23	89	89	2.0	0	0	2/2	2	1	iio6		E	ii		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
25	23	91	91	2.0	1/2	1/2	2/2	2	1	V		E	ii		V	V							M	0	1	1, 5, 2		1	1
26	24	93	93	7.0	0	0	2/2	2	1	i|PAC}		E	ii		i	i					PAC	}	m	0	1	0, -3, 1		0	0
26	24	96	96	0.0	3/4	3/4	2/2	2	1	{		E	ii									{		0	1				
27	25	100	100	1.0	3/4	3/4	2/2	2	1	i64		E	ii		i64	i		64					m	0	1	1, 0, -3		0	1
28	26	101	101	2.0	0	0	2/2	2	1	i6		E	ii		i6	i		6					m	0	1	-3, 1, 0		0	-3
28	26	103	103	2.0	1/2	1/2	2/2	2	1	i		E	ii		i	i							m	0	1	0, -3, 1		0	0
29	27	105	105	1.0	0	0	2/2	2	1	I.V		E	I		V	V							M	0	0	1, 5, 2		1	1
29	27	106	106	1.0	1/4	1/4	2/2	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
29	27	107	107	1.0	1/2	1/2	2/2	2	1	V64		E	I		V64	V		64					M	0	0	2, 1, 5		1	2
29	27	108	108	1.0	3/4	3/4	2/2	2	1	V6(4)		E	I		V6(4)	V		6	4				M	0	0	0, 2, 1		1	0
30	28	109	109	1.0	0	0	2/2	2	1	V6		E	I		V6	V		6					M	0	0	5, 2, 1		1	5
30	28	110	110	1.0	1/4	1/4	2/2	2	1	V6(^2)		E	I		V6(^2)	V		6	^2				M	0	0	3, 2, 1		1	3
30	28	111	111	1.0	1/2	1/2	2/2	2	1	V6		E	I		V6	V		6					M	0	0	5, 2, 1		1	5
30	28	112	112	1.0	3/4	3/4	2/2	2	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
31	29	113	113	1.0	0	0	2/2	2	1	I}{		E	I		I	I						}{	M	0	0	0, 4, 1		0	0
31	29	114	114	1.0	1/4	1/4	2/2	2	1	IM2		E	I		IM2	I	M	2					MM7	0	0	5, 0, 4, 1		0	5
31	29	115	115	1.0	1/2	1/2	2/2	2	1	IV6		E	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
31	29	116	116	1.0	3/4	3/4	2/2	2	1	IV64		E	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
32	30	117	117	1.0	0	0	2/2	2	1	viio		E	I		viio	vii	o						o	0	0	5, 2, -1		5	5
32	30	118	118	1.0	1/4	1/4	2/2	2	1	vii%2		E	I		vii%2	vii	%	2					%7	0	0	3, 5, 2, -1		5	3
32	30	119	119	1.0	1/2	1/2	2/2	2	1	iii6		E	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
32	30	120	120	1.0	3/4	3/4	2/2	2	1	iii64		E	I		iii64	iii		64					m	0	0	5, 4, 1		4	5
33	31	121	121	1.0	0	0	2/2	2	1	vi		E	I		vi	vi							m	0	0	3, 0, 4		3	3
33	31	122	122	1.0	1/4	1/4	2/2	2	1	vi2		E	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
33	31	123	123	1.0	1/2	1/2	2/2	2	1	V65/V		E	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
33	31	124	124	1.0	3/4	3/4	2/2	2	1	V7/V		E	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
34	32	125	125	2.0	0	0	2/2	2	1	V}{		E	I		V	V						}{	M	0	0	1, 5, 2		1	1
34	32	127	127	1.0	1/2	1/2	2/2	2	1	V6		E	I		V6	V		6					M	0	0	5, 2, 1		1	5
34	32	128	128	1.0	3/4	3/4	2/2	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
35	33	129	129	1.0	0	0	2/2	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
35	33	130	130	1.0	1/4	1/4	2/2	2	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
35	33	131	131	1.0	1/2	1/2	2/2	2	1	V64(4)		E	I		V64(4)	V		64	4				M	0	0	2, 1, 0		1	2
35	33	132	132	1.0	3/4	3/4	2/2	2	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
36	34	133	133	1.0	0	0	2/2	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
36	34	134	134	1.0	1/4	1/4	2/2	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
36	34	135	135	2.0	1/2	1/2	2/2	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
37	35	137	137	1.0	0	0	2/2	2	1	viio		E	I		viio	vii	o						o	0	0	5, 2, -1		5	5
37	35	138	138	1.0	1/4	1/4	2/2	2	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
37	35	139	139	1.0	1/2	1/2	2/2	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
37	35	140	140	1.0	3/4	3/4	2/2	2	1	I64		E	I		I64	I		64					M	0	0	1, 0, 4		0	1
38	36	141	141	2.0	0	0	2/2	2	1	ii		E	I		ii	ii							m	0	0	2, -1, 3		2	2
38	36	143	143	2.0	1/2	1/2	2/2	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	37	145	145	1.0	0	0	2/2	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
39	37	146	146	1.0	1/4	1/4	2/2	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
39	37	147	147	1.0	1/2	1/2	2/2	2	1	ii6		E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
39	37	148	148	1.0	3/4	3/4	2/2	2	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
40	38	149	149	2.0	0	0	2/2	2	1	vi|DC		E	I		vi	vi					DC		m	0	0	3, 0, 4		3	3
40	38	151	151	1.0	1/2	1/2	2/2	2	1	V6		E	I		V6	V		6					M	0	0	5, 2, 1		1	5
40	38	152	152	1.0	3/4	3/4	2/2	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
41	39	153	153	2.0	0	0	2/2	2	1	ii		E	I		ii	ii							m	0	0	2, -1, 3		2	2
41	39	155	155	2.0	1/2	1/2	2/2	2	1	V6	V65	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
42	40	157	157	2.0	0	0	2/2	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
42	40	159	159	2.0	1/2	1/2	2/2	2	1	IV6		E	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
43	41	161	161	2.0	0	0	2/2	2	1	ii6		E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
43	41	163	163	2.0	1/2	1/2	2/2	2	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
44	42	165	165	3.0	0	0	2/2	2	1	I|PAC}		E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
