mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
6	5	1/8	1/8	3/8	2	1	viio/III	e	i		viio/III	vii	o			III			o	1	1	6, 3, 0		6	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
6	5	1/4	1/4	3/8	2	1	V/III	e	i		V/III	V				III			M	1	1	2, 6, 3		2	2	1	2	0.3333333333333333	0.0625	0.1875	0.25
7	6	0	0	3/8	2	1	III	e	i		III	III							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
7	6	1/8	1/8	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
7	6	1/4	1/4	3/8	2	1	VI	e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	7	0	0	3/8	2	1	iio	e	i		iio	ii	o						o	1	1	6, 3, 0		6	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	7	1/8	1/8	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	7	1/4	1/4	3/8	2	1	#viio	e	i		#viio	#vii	o						o	1	1	9, 6, 3		9	9	0	3	0.0	0.0	0.25	0.0
9	8	0	0	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	2	4	0.3333333333333333	0.125	0.375	0.25
9	8	1/4	1/4	3/8	2	1	#viio6	e	i		#viio6	#vii	o	6					o	1	1	6, 3, 9		9	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
10	9	0	0	3/8	2	1	i6	e	i		i6	i		6					m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
10	9	1/8	1/8	3/8	2	1	iv7	e	i		iv7	iv		7					mm7	1	1	3, 0, 4, 1		3	3	0	3	0.0	0.0	0.25	0.0
10	9	1/4	1/4	3/8	2	1	V	e	i		V	V							M	1	1	5, 9, 6		5	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	10	0	0	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	10	1/8	1/8	3/8	2	1	i6	e	i		i6	i		6					m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	10	1/4	1/4	3/8	2	1	V	e	i		V	V							M	1	1	5, 9, 6		5	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
12	11	0	0	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	2	2	0.5	0.125	0.125	0.5
12	11	1/8	1/8	3/8	2	1	i6	e	i		i6	i		6					m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
12	11	1/4	1/4	3/8	2	1	V43	e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	0	3	0.0	0.0	0.25	0.0
13	12	0	0	3/8	2	1	i6	e	i		i6	i		6					m	1	1	1, 5, 4		4	1	0	3	0.0	0.0	0.25	0.0
13	12	1/8	1/8	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	2	2	0.5	0.125	0.125	0.5
13	12	1/4	1/4	3/8	2	1	i6	e	i		i6	i		6					m	1	1	1, 5, 4		4	1	2	2	0.5	0.125	0.125	0.5
14	13	0	0	3/8	2	1	V43/III	e	i		V43/III	V		43		III			Mm7	1	1	3, 0, 2, 6		2	3	0	3	0.0	0.0	0.25	0.0
14	13	1/8	1/8	3/8	2	1	viio/III	e	i		viio/III	vii	o			III			o	1	1	6, 3, 0		6	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
14	13	1/4	1/4	3/8	2	1	V/III	e	i		V/III	V				III			M	1	1	2, 6, 3		2	2	1	2	0.3333333333333333	0.0625	0.1875	0.25
15	14	0	0	3/8	2	1	III	e	i		III	III							M	1	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
15	14	1/8	1/8	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
15	14	1/4	1/4	3/8	2	1	VI	e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	2	0.3333333333333333	0.0625	0.1875	0.25
16	15	0	0	3/8	2	1	ii%65	e	i		ii%65	ii	%	65					%7	1	1	3, 0, 4, 6		6	3	0	4	0.0	0.0	0.25	0.0
16	15	1/8	1/8	3/8	2	1	V	e	i		V	V							M	1	1	5, 9, 6		5	5	1	3	0.25	0.0625	0.4375	0.125
17	16	0	0	3/8	2	1	i\\	e	i		i	i						\\	m	1	1	4, 1, 5		4	4	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
19	17	0	0	3/8	2	1	III	e	i		III	III							M	1	1	1, 5, 2		1	1	2	2	0.5	0.125	0.125	0.5
19	17	1/8	1/8	3/8	2	1	III6	e	i		III6	III		6					M	1	1	5, 2, 1		1	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
19	17	1/4	1/4	3/8	2	1	ii/III	e	i		ii/III	ii				III			m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
20	18	0	0	3/8	2	1	III6	e	i		III6	III		6					M	1	1	5, 2, 1		1	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
20	18	1/8	1/8	3/8	2	1	III	e	i		III	III							M	1	1	1, 5, 2		1	1	2	2	0.5	0.125	0.125	0.5
20	18	1/4	1/4	3/8	2	1	III6	e	i		III6	III		6					M	1	1	5, 2, 1		1	5	3	4	0.42857142857142855	0.1875	0.3125	0.375
21	19	1/8	1/8	3/8	2	1	III	e	i		III	III							M	1	1	1, 5, 2		1	1	2	2	0.5	0.125	0.125	0.5
21	19	1/4	1/4	3/8	2	1	III6	e	i		III6	III		6					M	1	1	5, 2, 1		1	5	3	4	0.42857142857142855	0.1875	0.3125	0.375
22	20	1/8	1/8	3/8	2	1	III	e	i		III	III							M	1	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
22	20	1/4	1/4	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	1	1	0.5	0.0625	0.0625	0.5
23	21	0	0	3/8	2	1	viio/VII	e	i		viio/VII	vii	o			VII			o	1	1	7, 4, 1		7	7	0	3	0.0	0.0	0.25	0.0
23	21	1/8	1/8	3/8	2	1	V2/VII	e	i		V2/VII	V		2		VII			Mm7	1	1	1, 3, 7, 4		3	1	0	3	0.0	0.0	0.25	0.0
23	21	1/4	1/4	3/8	2	1	V64/VII	e	i		V64/VII	V		64		VII			M	1	1	4, 3, 7		3	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
24	22	0	0	3/8	2	1	VII	e	i		VII	VII							M	1	1	2, 6, 3		2	2	1	2	0.3333333333333333	0.0625	0.1875	0.25
24	22	1/8	1/8	3/8	2	1	v6	e	i		v6	v		6					m	1	1	2, 6, 5		5	2	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
24	22	1/4	1/4	3/8	2	1	v	e	i		v	v							m	1	1	5, 2, 6		5	5	1	1	0.5	0.0625	0.0625	0.5
25	23	0	0	3/8	2	1	i6	e	i		i6	i		6					m	1	1	1, 5, 4		4	1	0	3	0.0	0.0	0.25	0.0
25	23	1/8	1/8	3/8	2	1	V7/VII	e	i		V7/VII	V		7		VII			Mm7	1	1	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.25	0.0
25	23	1/4	1/4	3/8	2	1	V/VII	e	i		V/VII	V				VII			M	1	1	3, 7, 4		3	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
26	24	0	0	3/8	2	1	VII	e	i		VII	VII							M	1	1	2, 6, 3		2	2	1	2	0.3333333333333333	0.0625	0.25	0.2
