mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
5	4	3/4	3/4	2/2	2	1	V2					a	i		V2	V		2					Mm7	1	1	2, 4, 8, 5		4	2	0	3	0.0	0.0	0.5	0.0
6	5	0	0	2/2	2	1	i6					a	i		i6	i		6					m	1	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.125	0.375	0.25
6	5	1/4	1/4	2/2	2	1	VI6					a	i		VI6	VI		6					M	1	1	3, 0, -1		-1	3	1	2	0.3333333333333333	0.125	0.375	0.25
6	5	1/2	1/2	2/2	2	1	i6					a	i		i6	i		6					m	1	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.125	0.375	0.25
6	5	3/4	3/4	2/2	2	1	iio					a	i		iio	ii	o						o	1	1	5, 2, -1		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
7	6	0	0	2/2	2	1	i6					a	i		i6	i		6					m	1	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.125	0.375	0.25
7	6	1/4	1/4	2/2	2	1	VI6					a	i		VI6	VI		6					M	1	1	3, 0, -1		-1	3	2	2	0.5	0.25	0.25	0.5
7	6	1/2	1/2	2/2	2	1	i6					a	i		i6	i		6					m	1	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.125	0.375	0.25
7	6	3/4	3/4	2/2	2	1	V7					a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
8	7	0	0	2/2	2	1	V(64)					a	i		V(64)	V			64				M	1	1	4, 3, 0		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
8	7	1/4	1/4	2/2	2	1	iio					a	i		iio	ii	o						o	1	1	5, 2, -1		5	5	2	2	0.5	0.25	0.25	0.5
8	7	1/2	1/2	2/2	2	1	#viio					a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	1	3	0.25	0.125	0.375	0.25
8	7	3/4	3/4	2/2	2	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.5	0.0
9	8	0	0	2/2	2	1	V|HC}					a	i		V	V					HC	}	M	1	1	4, 8, 5		4	4	3	4	0.42857142857142855	0.375	1.125	0.25
9	8	3/4	3/4	2/2	2	1	V7{					a	i		V7	V		7				{	Mm7	1	1	4, 8, 5, 2		4	4	1	3	0.25	0.125	0.375	0.25
10	9	0	0	2/2	2	1	i64					a	i		i64	i		64					m	1	1	4, 3, 0		3	4	1	2	0.3333333333333333	0.125	0.375	0.25
10	9	1/4	1/4	2/2	2	1	iv					a	i		iv	iv							m	1	1	2, -1, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
10	9	1/2	1/2	2/2	2	1	i6					a	i		i6	i		6					m	1	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.125	0.375	0.25
10	9	3/4	3/4	2/2	2	1	iio					a	i		iio	ii	o						o	1	1	5, 2, -1		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
11	10	0	0	2/2	2	1	i6					a	i		i6	i		6					m	1	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.125	0.375	0.25
11	10	1/4	1/4	2/2	2	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	2	2	0.5	0.25	0.25	0.5
11	10	1/2	1/2	2/2	2	1	i6					a	i		i6	i		6					m	1	1	0, 4, 3		3	0	2	2	0.5	0.25	0.25	0.5
11	10	3/4	3/4	2/2	2	1	III6					a	i		III6	III		6					M	1	1	4, 1, 0		0	4	2	2	0.5	0.25	0.25	0.5
12	11	0	0	2/2	2	1	I64/III					a	i		I64/III	I		64		III			M	1	1	1, 0, 4		0	1	1	2	0.3333333333333333	0.125	0.375	0.25
12	11	1/4	1/4	2/2	2	1	IV/III					a	i		IV/III	IV				III			M	1	1	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
12	11	1/2	1/2	2/2	2	1	I6/III					a	i		I6/III	I		6		III			M	1	1	4, 1, 0		0	4	1	2	0.3333333333333333	0.125	0.375	0.25
12	11	3/4	3/4	2/2	2	1	ii/III					a	i		ii/III	ii				III			m	1	1	2, -1, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
13	12	0	0	2/2	2	1	I6/III					a	i		I6/III	I		6		III			M	1	1	4, 1, 0		0	4	1	2	0.3333333333333333	0.125	0.375	0.25
13	12	1/4	1/4	2/2	2	1	I/III					a	i		I/III	I				III			M	1	1	0, 4, 1		0	0	2	2	0.5	0.25	0.25	0.5
13	12	1/2	1/2	2/2	2	1	I6/III					a	i		I6/III	I		6		III			M	1	1	4, 1, 0		0	4	2	2	0.5	0.25	0.25	0.5
13	12	3/4	3/4	2/2	2	1	v6					a	i		v6	v		6					m	1	1	1, 5, 4		4	1	2	2	0.5	0.25	0.25	0.5
14	13	0	0	2/2	2	1	i64/v					a	i		i64/v	i		64		v			m	1	1	5, 4, 1		4	5	1	2	0.3333333333333333	0.125	0.375	0.25
14	13	1/4	1/4	2/2	2	1	iv/v					a	i		iv/v	iv				v			m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
14	13	1/2	1/2	2/2	2	1	i6/v					a	i		i6/v	i		6		v			m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.125	0.375	0.25
14	13	3/4	3/4	2/2	2	1	iio/v					a	i		iio/v	ii	o			v			o	1	1	6, 3, 0		6	6	1	2	0.3333333333333333	0.125	0.375	0.25
15	14	0	0	2/2	2	1	i6/v					a	i		i6/v	i		6		v			m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.125	0.375	0.25
15	14	1/4	1/4	2/2	2	1	i/v					a	i		i/v	i				v			m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
15	14	1/2	1/2	2/2	2	1	VI/v					a	i		VI/v	VI				v			M	1	1	0, 4, 1		0	0	1	2	0.3333333333333333	0.125	0.375	0.25
15	14	3/4	3/4	2/2	2	1	ii%65/v	0	-8	/		a	i		ii%65/v	ii	%	65		v			%7	1	1	3, 0, 4, 6		6	3	0	3	0.0	0.0	0.5	0.0
16	15	0	0	2/2	2	1	i6/v					a	i		i6/v	i		6		v			m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.125	0.375	0.25
16	15	1/4	1/4	2/2	2	1	i/v					a	i		i/v	i				v			m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
16	15	1/2	1/2	2/2	2	1	V(64)/v					a	i		V(64)/v	V			64	v			M	1	1	5, 4, 1		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
16	15	3/4	3/4	2/2	2	1	V/v					a	i		V/v	V				v			M	1	1	5, 9, 6		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
17	16	0	0	2/2	2	1	i/v|PAC}					a	i		i/v	i				v	PAC	}	m	1	1	4, 1, 5		4	4	2	6	0.25	0.25	1.75	0.125
19	17	0	0	2/2	2	1	#viio64/iv					a	i		#viio64/iv	#vii	o	64		iv			o	1	1	1, 7, 4		7	1	1	2	0.3333333333333333	0.125	0.375	0.25
19	17	1/4	1/4	2/2	2	1	ii/iv					a	i		ii/iv	ii				iv			m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
19	17	1/2	1/2	2/2	2	1	#viio64/iv					a	i		#viio64/iv	#vii	o	64		iv			o	1	1	1, 7, 4		7	1	1	2	0.3333333333333333	0.125	0.375	0.25
19	17	3/4	3/4	2/2	2	1	iv6					a	i		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	1	2	0.3333333333333333	0.125	0.375	0.25
20	18	0	0	2/2	2	1	iio6/iv					a	i		iio6/iv	ii	o	6		iv			o	1	1	1, -2, 4		4	1	1	3	0.25	0.125	0.375	0.25
20	18	1/4	1/4	2/2	2	1	iio/iv					a	i		iio/iv	ii	o			iv			o	1	1	4, 1, -2		4	4	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
20	18	1/2	1/2	2/2	2	1	iv/iv					a	i		iv/iv	iv				iv			m	1	1	1, -2, 2		1	1	0	1	0.0	0.0	0.25	0.0
20	18	3/4	3/4	2/2	2	1	V65/iv					a	i		V65/iv	V		65		iv			Mm7	1	1	7, 4, 1, 3		3	7	0	3	0.0	0.0	0.5	0.0
21	19	0	0	2/2	2	1	i/iv					a	i		i/iv	i				iv			m	1	1	2, -1, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
21	19	1/4	1/4	2/2	2	1	VI/iv					a	i		VI/iv	VI				iv			M	1	1	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.5	0.0
21	19	1/2	1/2	2/2	2	1	IV/iv					a	i		IV/iv	IV				iv			M	1	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.125	0.375	0.25
21	19	3/4	3/4	2/2	2	1	V7/iv					a	i		V7/iv	V		7		iv			Mm7	1	1	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.5	0.0
22	20	0	0	2/2	2	1	i/iv|IAC}					a	i		i/iv	i				iv	IAC	}	m	1	1	2, -1, 3		2	2	5	6	0.45454545454545453	0.625	1.375	0.3125
23	21	0	0	2/2	2	1	viio64/III					a	i		viio64/III	vii	o	64		III			o	1	1	-1, 5, 2		5	-1	1	2	0.3333333333333333	0.125	0.375	0.25
23	21	1/4	1/4	2/2	2	1	viio6/III					a	i		viio6/III	vii	o	6		III			o	1	1	2, -1, 5		5	2	2	2	0.5	0.25	0.25	0.5
23	21	1/2	1/2	2/2	2	1	viio64/III					a	i		viio64/III	vii	o	64		III			o	1	1	-1, 5, 2		5	-1	1	2	0.3333333333333333	0.125	0.375	0.25
23	21	3/4	3/4	2/2	2	1	viio6/III					a	i		viio6/III	vii	o	6		III			o	1	1	2, -1, 5		5	2	2	2	0.5	0.25	0.25	0.5
24	22	0	0	2/2	2	1	ii6/III					a	i		ii6/III	ii		6		III			m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.125	0.375	0.25
24	22	1/4	1/4	2/2	2	1	ii/III					a	i		ii/III	ii				III			m	1	1	2, -1, 3		2	2	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
24	22	1/2	1/2	2/2	2	1	ii6/III				IV/III	a	i		ii6/III	ii		6		III			m	1	1	-1, 3, 2		2	-1	1	1	0.5	0.125	0.125	0.5
24	22	3/4	3/4	2/2	2	1	V65/III					a	i		V65/III	V		65		III			Mm7	1	1	5, 2, -1, 1		1	5	1	3	0.25	0.125	0.375	0.25
25	23	0	0	2/2	2	1	I/III					a	i		I/III	I				III			M	1	1	0, 4, 1		0	0	1	2	0.3333333333333333	0.125	0.375	0.25
25	23	1/4	1/4	2/2	2	1	vi/III					a	i		vi/III	vi				III			m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.5	0.0
25	23	1/2	1/2	2/2	2	1	IV/III					a	i		IV/III	IV				III			M	1	1	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
25	23	3/4	3/4	2/2	2	1	V7/III					a	i		V7/III	V		7		III			Mm7	1	1	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.5	0.0
26	24	0	0	2/2	2	1	I/III|IAC}{					a	i		I/III	I				III	IAC	}{	M	1	1	0, 4, 1		0	0	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
26	24	3/4	3/4	2/2	2	1	III6					a	i		III6	III		6					M	1	1	4, 1, 0		0	4	2	2	0.5	0.25	0.25	0.5
27	25	0	0	2/2	2	1	i65					a	i		i65	i		65					mm7	1	1	0, 4, 1, 3		3	0	2	5	0.2857142857142857	0.25	0.75	0.25
27	25	1/2	1/2	2/2	2	1	VIM43					a	i		VIM43	VI	M	43					MM7	1	1	0, 4, -1, 3		-1	0	1	5	0.16666666666666666	0.125	0.875	0.125
28	26	0	0	2/2	2	1	#viio65					a	i		#viio65	#vii	o	65					o7	1	1	5, 2, -1, 8		8	5	2	5	0.2857142857142857	0.25	0.75	0.25
28	26	1/2	1/2	2/2	2	1	v43					a	i		v43	v		43					mm7	1	1	5, 2, 4, 1		4	5	1	5	0.16666666666666666	0.125	0.875	0.125
29	27	0	0	2/2	2	1	#vi%65					a	i		#vi%65	#vi	%	65					%7	1	1	3, 0, 4, 6		6	3	1	3	0.25	0.125	0.375	0.25
29	27	1/4	1/4	2/2	2	1	VIM65					a	i		VIM65	VI	M	65					MM7	1	1	3, 0, 4, -1		-1	3	0	3	0.0	0.0	0.5	0.0
29	27	1/2	1/2	2/2	2	1	iv43					a	i		iv43	iv		43					mm7	1	1	3, 0, 2, -1		2	3	2	6	0.25	0.25	0.75	0.25
30	28	0	0	2/2	2	1	V|HC}					a	i		V	V					HC	}	M	1	1	4, 8, 5		4	4	3	4	0.42857142857142855	0.375	0.625	0.375
30	28	1/2	1/2	2/2	2	1	V2					a	i		V2	V		2					Mm7	1	1	2, 4, 8, 5		4	2	0	3	0.0	0.0	0.5	0.0
30	28	3/4	3/4	2/2	2	1	i6{					a	i		i6	i		6				{	m	1	1	0, 4, 3		3	0	2	2	0.5	0.25	0.25	0.5
31	29	0	0	2/2	2	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
31	29	1/4	1/4	2/2	2	1	#viio	-0.159296	3.18141	/		a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	1	2	0.3333333333333333	0.125	0.375	0.25
31	29	1/2	1/2	2/2	2	1	i	0.318592	3.3407	/		a	i		i	i							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
31	29	3/4	3/4	2/2	2	1	#viio					a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	1	2	0.3333333333333333	0.125	0.375	0.25
32	30	0	0	2/2	2	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
32	30	1/4	1/4	2/2	2	1	i6					a	i		i6	i		6					m	1	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
32	30	1/2	1/2	2/2	2	1	V					a	i		V	V							M	1	1	4, 8, 5		4	4	1	1	0.5	0.125	0.125	0.5
32	30	3/4	3/4	2/2	2	1	#viio	-0.217741	3.17339	/		a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	3	4	0.42857142857142855	0.375	0.625	0.375
33	31	1/4	1/4	2/2	2	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
33	31	1/2	1/2	2/2	2	1	#viio					a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	2	2	0.5	0.25	0.25	0.5
33	31	3/4	3/4	2/2	2	1	#viio6					a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	2	2	0.5	0.25	0.25	0.5
34	32	0	0	2/2	2	1	#viio					a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	1	2	0.3333333333333333	0.125	0.375	0.25
34	32	1/4	1/4	2/2	2	1	V7					a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
34	32	1/2	1/2	2/2	2	1	#viio6					a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	1	1	0.5	0.125	0.125	0.5
34	32	3/4	3/4	2/2	2	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	2	5	0.2857142857142857	0.25	0.75	0.25
35	33	1/4	1/4	2/2	2	1	III					a	i		III	III							M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.5	0.0
35	33	1/2	1/2	2/2	2	1	iio					a	i		iio	ii	o						o	1	1	5, 2, -1		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
35	33	3/4	3/4	2/2	2	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
36	34	0	0	2/2	2	1	#viio7					a	i		#viio7	#vii	o	7					o7	1	1	8, 5, 2, -1		8	8	0	3	0.0	0.0	0.5	0.0
36	34	1/4	1/4	2/2	2	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.5	0.0
36	34	1/2	1/2	2/2	2	1	iv6					a	i		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	1	2	0.3333333333333333	0.125	0.375	0.25
36	34	3/4	3/4	2/2	2	1	ii%65					a	i		ii%65	ii	%	65					%7	1	1	2, -1, 3, 5		5	2	0	3	0.0	0.0	0.5	0.0
37	35	0	0	2/2	2	1	V7					a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.5	0.0
37	35	1/4	1/4	2/2	2	1	i					a	i		i	i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.5	0.0
37	35	1/2	1/2	2/2	2	1	V(64)					a	i		V(64)	V			64				M	1	1	4, 3, 0		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
37	35	3/4	3/4	2/2	2	1	V					a	i		V	V							M	1	1	4, 8, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
38	36	0	0	2/2	2	1	i|PAC}					a	i		i	i					PAC	}	m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	2.0	0.0
